Fibanachi	eps=	0,1	Func index=	0	
a	b	x1	x2	f1	f2	function_calls	b - a	
-0,11802575107296137	0,2639300779163367	0,027860155832673317	0,11802575107296143	0,9525605886783433	0,8981117355574881	4	0,3819558289892981	
0,027860155832673317	0,2639300779163367	0,11802575107296143	0,17374606273830798	0,8981117355574881	0,9244861119634258	5	0,2360699220836634	
0,027860155832673317	0,17374606273830798	0,08356204756027927	0,11802575107296143	0,902857555072729	0,8981117355574881	6	0,14588590690563466	
0,08356204756027927	0,17374606273830798	0,11802575107296143	0,13926393928788525	0,8981117355574881	0,9036423138337807	7	0,09018401517802871	
0,08356204756027927	0,13926393928788525	0,1047818158374625	0,11802575107296143	0,8978218240859527	0,8981117355574881	8	0,05570189172760598	
0,08356204756027927	0,11802575107296143	0,0968173181420801	0,1047818158374625	0,8988934970816169	0,8978218240859527	9	0,03446370351268216	
0,0968173181420801	0,11802575107296143	0,1047818158374625	0,11007258872388093	0,8978218240859527	0,8976333005424646	10	0,02120843293088133	
0,1047818158374625	0,11802575107296143	0,11007258872388093	0,11272817697876186	0,8976333005424646	0,897692512709286	11	0,013243935235498924	
0,1047818158374625	0,11272817697876186	0,10743060288456228	0,11007258872388093	0,8976333005424646	0,8976333005424646	11	0,00794636114129936	
Fibanachi	eps=	0,010000000000000002	Func index=	1	
a	b	x1	x2	f1	f2	function_calls	b - a	
6	9,9	7,489665653495441	8,410334346504559	6,302863474997628	6,100777184393053	2	3,9000000000000004	
7,489665653495441	9,9	8,410334346504559	8,979335310403021	6,100777184393053	6,307050052753507	3	2,410334346504559	
7,489665653495441	8,979335310403021	8,05867062080604	8,410334346504559	6,15280932880751	6,100777184393053	4	1,48966965690758	
8,05867062080604	8,979335310403021	8,410334346504559	8,627675588116642	6,100777184393053	6,114443912883384	5	0,9206646895969808	
8,05867062080604	8,627675588116642	8,276015865830262	8,410334346504559	6,113063091398606	6,100777184393053	6	0,569004967310601	
8,276015865830262	8,627675588116642	8,410334346504559	8,493361110854483	6,100777184393053	6,100123326593701	7	0,35165972228637976	
8,410334346504559	8,627675588116642	8,493361110854483	8,54464634974798	6,100123326593701	6,103075211816395	8	0,21734124161208257	
8,410334346504559	8,54464634974798	8,46161711137932	8,493361110854483	6,099637958666452	6,100123326593701	9	0,13431200324342107	
8,410334346504559	8,493361110854483	8,442079874050119	8,46161711137932	6,099804513421755	6,099637958666452	10	0,08302676434992406	
8,442079874050119	8,493361110854483	8,46161711137932	8,473825401595677	6,099637958666452	6,09971071746987	11	0,05128123680436403	
8,442079874050119	8,473825401595677	8,454289692336872	8,46161711137932	6,099660312066847	6,099637958666452	12	0,03174552754555826	
8,454289692336872	8,473825401595677	8,46161711137932	8,466499510623626	6,099637958666452	6,099650379651368	13	0,019535709258805767	
8,454289692336872	8,466499510623626	8,459173619651573	8,46161711137932	6,099639980353005	6,099637958666452	14	0,01220981828675427	
8,459173619651573	8,466499510623626	8,46161711137932	8,464057546966275	6,099637958666452	6,099637958666452	14	0,007325890972053273	
Fibanachi	eps=	0,010000000000000002	Func index=	2	
a	b	x1	x2	f1	f2	function_calls	b - a	
0	6,283185307179586	2,399964331483749	3,8832209756958367	-7,003412159300584	-2,6461006059599628	2	6,283185307179586	
0	3,8832209756958367	1,4832591078111836	2,399964331483749	-3,9390020023438925	-7,003412159300584	3	3,8832209756958367	
1,4832591078111836	3,8832209756958367	2,399964331483749	2,9665182156223677	-7,003412159300584	-7,0600407194729025	4	2,3999618678846533	
2,399964331483749	3,8832209756958367	2,9665182156223677	3,316665568972203	-7,0600407194729025	-6,052660988074687	5	1,4832566442120876	
2,399964331483749	3,316665568972203	2,7501101622485695	2,9665182156223677	-7,268504341517714	-7,0600407194729025	6	0,916701237488454	
2,399964331483749	2,9665182156223677	2,6163733258542945	2,7501101622485695	-7,249947870796867	-7,268504341517714	7	0,5665538841386186	
2,6163733258542945	2,9665182156223677	2,7501101622485695	2,83278232022484	-7,268504341517714	-7,224697053273313	8	0,35014488976807323	
2,6163733258542945	2,83278232022484	2,699046424827312	2,7501101622485695	-7,2741896683311635	-7,268504341517714	9	0,2164089943705454	
2,6163733258542945	2,7501101622485695	2,667436481568472	2,699046424827312	-7,2697349604904336	-7,2741896683311635	10	0,13373683639427503	
2,667436481568472	2,7501101622485695	2,699046424827312	2,7184996372826498	-7,2741896683311635	-7,273915702286993	11	0,0826736806800974	
2,667436481568472	2,7184996372826498	2,6868891123167304	2,699046424827312	-7,273190486022369	-7,2741896683311635	12	0,05106315571417763	
2,6868891123167304	2,7184996372826498	2,699046424827312	2,7063417430649883	-7,2741896683311635	-7,274357915386327	13	0,03161052496591932	
2,699046424827312	2,7184996372826498	2,7063417430649883	2,711204682611898	-7,274357915386327	-7,274289637423934	14	0,01945321245533771	
2,699046424827312	2,711204682611898	2,7039097279411464	2,7063417430649883	-7,274337878266096	-7,274357915386327	15	0,012158257784586013	
2,7039097279411464	2,711204682611898	2,7063417430649883	2,7087730310549807	-7,274357915386327	-7,274357915386327	15	0,007294954670751697	
Fibanachi	eps=	0,010000000000000002	Func index=	3	
a	b	x1	x2	f1	f2	function_calls	b - a	
0	1	0,38197424892703863	0,6180257510729614	5,474459812438219	7,8384486005227965	2	1	
0	0,6180257510729614	0,23606992208366337	0,38197424892703863	5,148684649943065	5,474459812438219	3	0,6180257510729614	
0	0,38197424892703863	0,14589294229852168	0,23606992208366337	5,283749534607376	5,148684649943065	4	0,38197424892703863	
0,14589294229852168	0,38197424892703863	0,23606992208366337	0,29178588459704335	5,148684649943065	5,189243944461705	5	0,23608130662851695	
0,14589294229852168	0,29178588459704335	0,20159752026704814	0,23606992208366337	5,17178119521979	5,148684649943065	6	0,14589294229852168	
0,20159752026704814	0,29178588459704335	0,23606992208366337	0,2573020982355746	5,148684649943065	5,152573002861628	7	0,09018836432999522	
0,20159752026704814	0,2573020982355746	0,22281831187410583	0,23606992208366337	5,153302439126378	5,148684649943065	8	0,05570457796852646	
0,22281831187410583	0,2573020982355746	0,23606992208366337	0,24403910348116353	5,148684649943065	5,148503188854722	9	0,03448378636146876	
0,23606992208366337	0,2573020982355746	0,24403910348116353	0,2493400321786079	5,148503188854722	5,149471556244638	10	0,021232176151911225	
0,23606992208366337	0,2493400321786079	0,24137796612164117	0,24403910348116353	5,148345679312033	5,148503188854722	11	0,013270110094944526	
0,23606992208366337	0,24403910348116353	0,23872631588283008	0,24137796612164117	5,148345679312033	5,148345679312033	11	0,007969181397500164	
Fibanachi	eps=	0,010000000000000002	Func index=	4	
a	b	x1	x2	f1	f2	function_calls	b - a	
0,5	2,5	1,2639257294429709	1,736074270557029	1,1588689501264966	0,5943357634199986	2	2,0	
1,2639257294429709	2,5	1,736074270557029	2,0278655306095166	0,5943357634199986	0,48772632153569995	3	1,2360742705570291	
1,736074270557029	2,5	2,0278655306095166	2,208200043259981	0,48772632153569995	0,5131647344562569	4	0,7639257294429711	
1,736074270557029	2,208200043259981	1,916400086519962	2,0278655306095166	0,5068183956827905	0,48772632153569995	5	0,4721257727029522	
1,916400086519962	2,208200043259981	2,0278655306095166	2,0967259024828953	0,48772632153569995	0,489238996602245	6	0,29179995674001913	
1,916400086519962	2,0967259024828953	1,9852517617058092	2,0278655306095166	0,4918770925786738	0,48772632153569995	7	0,1803258159629333	
1,9852517617058092	2,0967259024828953	2,0278655306095166	2,0541034368916566	0,48772632153569995	0,48710603202459557	8	0,11147414077708606	
2,0278655306095166	2,0967259024828953	2,0541034368916566	2,070493379864465	0,48710603202459557	0,48746637616211946	9	0,06886037187337868	
2,0278655306095166	2,070493379864465	2,0442608572460355	2,0541034368916566	0,48716594704976346	0,48710603202459557	10	0,04262784925494856	
2,0442608572460355	2,070493379864465	2,0541034368916566	2,060656183882554	0,48710603202459557	0,48718112740624075	11	0,026232522618429677	
2,0442608572460355	2,060656183882554	2,0508189879006427	2,0541034368916566	0,48710296962472666	0,48710603202459557	12	0,016395326636518437	
2,0442608572460355	2,0541034368916566	2,0475417171279093	2,0508189879006427	0,48710296962472666	0,48710296962472666	12	0,009842579645621186	
Fibanachi	eps=	0,0010000000000000002	Func index=	0	
a	b	x1	x2	f1	f2	function_calls	b - a	
-0,5	0,5	-0,11803405572755427	0,1180340557275541	1,4099449525344636	0,8981127038505388	2	1,0	
-0,11803405572755427	0,5	0,1180340557275541	0,2639320383114953	0,8981127038505388	1,030777236347154	3	0,6180340557275543	
-0,11803405572755427	0,2639320383114953	0,027864076622990647	0,1180340557275541	0,9525550421356493	0,8981127038505388	4	0,3819660940390496	
0,027864076622990647	0,2639320383114953	0,1180340557275541	0,1737622089735356	0,8981127038505388	0,9244989785419018	5	0,23606796168850466	
0,027864076622990647	0,1737622089735356	0,08359237963557582	0,1180340557275541	0,9028452813275666	0,8981127038505388	6	0,14589813235054494	
0,08359237963557582	0,1737622089735356	0,1180340557275541	0,13932068264816103	0,8981127038505388	0,9036649985012464	7	0,09016982933795976	
